"Protein Accession"	"DNA Accession"	"AMR Gene Family"	"Drug Class"	"Resistance Mechanism"
"EXE65374.1"	"JEXY01000001.1"	"ADC beta-lactamase without carbapenemase activity"	"cephalosporin"	"antibiotic inactivation"
"AAL14439.1"	"AF370885.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"glycylcycline;tetracycline antibiotic"	"antibiotic efflux"
"AAL14440.1"	"AF370885.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"glycylcycline;tetracycline antibiotic"	"antibiotic efflux"
"ALX99516.1"	"CP013924.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"glycylcycline;tetracycline antibiotic"	"antibiotic efflux"
"CAJ77856.1"	"CT025801.2"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"fluoroquinolone antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"CAJ77857.1"	"CT025800.2"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"fluoroquinolone antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"CAJ77855.1"	"CT025802.2"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"fluoroquinolone antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"ACJ41739.1"	"CP001182.2"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"AAX14802.1"	"AY769962"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"AAX14803.1"	"AY769962"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"ALH22601.1"	"KR297239.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"fluoroquinolone antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"AGV28567.1"	"KF147862"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"ADM92605.1"	"HM440348"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"glycylcycline;tetracycline antibiotic"	"antibiotic efflux"
"ADM92606.1"	"HM440348"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"glycylcycline;tetracycline antibiotic"	"antibiotic efflux"
"AAC09015.1"	"U14748"	"AER beta-lactamase"	"penam"	"antibiotic inactivation"
"AAA22081.1"	"M58472.1"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"CAQ53840.1"	"AM998375"	"AIM beta-lactamase"	"cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AAF94731.1"	"AE003852.1"	"lipid A acyltransferase"	"peptide antibiotic"	"antibiotic target alteration"
"CAH35803.1"	"BX571965.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminoglycoside antibiotic"	"antibiotic efflux"
"CAH35802.1"	"BX571965.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminoglycoside antibiotic"	"antibiotic efflux"
"AAC64365.1"	"AF078527"	"ANT(2'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"QEQ43477.1"	"MN366379.1"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA26199.1"	"X02340.1"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAL51021.2"	"AF453998"	"AAC(6');ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ENU91137"	"APPC01000022.1"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ENU37733"	"APOM01000001.1"	"ANT(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAO83986.1"	"EF540343"	"ANT(4')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ADA62098.1"	"GQ900432.1"	"ANT(4')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA25717.1"	"M98270"	"ANT(4')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAM76670.1"	"AY114142"	"ANT(4')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AHE40557.1"	"KF648874.1"	"ANT(6)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CBH51824.1"	"FN594949"	"ANT(6)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA26428.1"	"X02588.1"	"ANT(9)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAX38178.1"	"AY939911"	"APH(2'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAW34150.1"	"AY701528.1"	"APH(2'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AGV10818.1"	"CP004067.1"	"APH(2'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAK63040.1"	"AF337947"	"APH(2'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAB49832.1"	"U51479"	"APH(2'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAC14693.1"	"AF016483"	"APH(2'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA37605.1"	"X53527"	"APH(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAE51638.1"	"BX664015.1"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ABK33456.1"	"AF313472"	"APH(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA26412.1"	"M20305"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ABC68330.1"	"DQ336355"	"APH(3'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA23892.1"	"V00618.1"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA62365.1"	"X90856"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ADQ43421.1"	"HQ424460"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AGV10830.1"	"CP004067"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA27061.1"	"X03364"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ENV34035"	"APPN01000061.1"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA26699.1"	"K00432"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAC32025.1"	"M22126"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAB21326.1"	"S81599"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AGI04227.1"	"KC170992.1"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA30578.1"	"X07753"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAF29483.1"	"AJ627643.4"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAA76822.1"	"M29953"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAG11411.2"	"AF182845.2"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"EPF73263"	"ATGI01000028.1"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"ABY48974.1"	"EU165039.1"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA24743.1"	"V01499"	"APH(4)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA52372.1"	"X74325"	"APH(4)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA68516.1"	"Y00459"	"APH(6)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA29136.1"	"X05648"	"APH(6)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA25854.1"	"X01702"	"APH(6)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAC23556.1"	"AF024602"	"APH(6)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAA27276.1"	"X03615"	"APH(7'')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAB58447.1"	"U94857"	"APH(9)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"AAB66655.1"	"U70376.2"	"APH(9)"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CAD91341.1"	"Y18050.2"	"APH(3')"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"CBL58181.1"	"FN806789.3"	"amp acetyltransferase"	"aminoglycoside antibiotic"	"antibiotic inactivation"
"BAM76830.1"	"AB765395"	"AQU beta-lactamase"	"cephalosporin"	"antibiotic inactivation"
"AHF82023.1"	"KF730243.1"	"AQU beta-lactamase"	"cephalosporin"	"antibiotic inactivation"
"AHF82024.1"	"KF730244.1"	"AQU beta-lactamase"	"cephalosporin"	"antibiotic inactivation"
"APY23733.1"	"KY363215.1"	"ARL Beta-lactamase"	"penam"	"antibiotic inactivation"
"APY23841.1"	"KY363207.1"	"ARL Beta-lactamase"	"penam"	"antibiotic inactivation"
"APY23844.1"	"KY363208.1"	"ARL Beta-lactamase"	"penam"	"antibiotic inactivation"
"APY23838.1"	"KY363206.1"	"ARL Beta-lactamase"	"penam"	"antibiotic inactivation"
"APY23862.1"	"KY363214.1"	"ARL Beta-lactamase"	"penam"	"antibiotic inactivation"
"APY23865.1"	"KY464892.1"	"ARL Beta-lactamase"	"penam"	"antibiotic inactivation"
"ATC67679.1"	"CP023390.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"acridine dye;fluoroquinolone antibiotic"	"antibiotic efflux"
"ABD30512.1"	"CP000253.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"acridine dye;fluoroquinolone antibiotic"	"antibiotic efflux"
"ADC55560.1"	"GU437214.1"	"16S rRNA methyltransferase (G1405)"	"aminoglycoside antibiotic"	"antibiotic target alteration"
"AAG07106.1"	"AE004091.2"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminocoumarin antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic"	"antibiotic efflux"
"AAG06942.1"	"AE004091.2"	"pmr phosphoethanolamine transferase"	"peptide antibiotic"	"antibiotic target alteration"
"CDO12042.1"	"FO834906.1"	"pmr phosphoethanolamine transferase"	"peptide antibiotic"	"antibiotic target alteration"
"AAC05822.1"	"AF001493"	"rifampin ADP-ribosyltransferase (Arr)"	"rifamycin antibiotic"	"antibiotic inactivation"
"AAC64366.1"	"AF078527"	"rifampin ADP-ribosyltransferase (Arr)"	"rifamycin antibiotic"	"antibiotic inactivation"
"ACD56151.1"	"EU675686"	"rifampin ADP-ribosyltransferase (Arr)"	"rifamycin antibiotic"	"antibiotic inactivation"
"ABV26705.1"	"EF660562"	"rifampin ADP-ribosyltransferase (Arr)"	"rifamycin antibiotic"	"antibiotic inactivation"
"ABV26707.1"	"EF660563"	"rifampin ADP-ribosyltransferase (Arr)"	"rifamycin antibiotic"	"antibiotic inactivation"
"CAZ48628.1"	"FN397623"	"rifampin ADP-ribosyltransferase (Arr)"	"rifamycin antibiotic"	"antibiotic inactivation"
"AGC29882.1"	"KC199968"	"rifampin ADP-ribosyltransferase (Arr)"	"rifamycin antibiotic"	"antibiotic inactivation"
"AAG44836.1"	"AF279904.1"	"AST Beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"EGP45232.2"	"AFRQ01000061.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic"	"antibiotic efflux"
"EGP45231.1"	"AFRQ01000061.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic"	"antibiotic efflux"
"EGP45233.1"	"AFRQ01000061.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminoglycoside antibiotic;cephalosporin;fluoroquinolone antibiotic;macrolide antibiotic"	"antibiotic efflux;antibiotic target alteration"
"AAC76093.1"	"U00096.3"	"undecaprenyl pyrophosphate related proteins"	"peptide antibiotic"	"antibiotic target alteration"
"AAQ63644.1"	"AY238971.1"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"AAA22289.1"	"K00544"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"CAX52582.1"	"AL009126"	"defensin resistant mprF"	"peptide antibiotic"	"antibiotic target alteration"
"BAA85265"	"AB016245"	"daptomycin resistant pgsA"	"peptide antibiotic"	"antibiotic target alteration"
"BAA15935.1"	"AP009048.1"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminocoumarin antibiotic;aminoglycoside antibiotic"	"antibiotic efflux"
"BAA15934.1"	"AP009048"	"resistance-nodulation-cell division (RND) antibiotic efflux pump"	"aminocoumarin antibiotic;aminoglycoside antibiotic"	"antibiotic efflux"
"APB03218.1"	"KX531048.1"	"Bah amidohydrolase"	"peptide antibiotic"	"antibiotic inactivation"
"AAL82403.1"	"AF469609"	"fluoroquinolone resistant gyrA"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"ABM44583.1"	"CP000524.1"	"aminocoumarin resistant gyrB"	"aminocoumarin antibiotic"	"antibiotic target alteration"
"AAG08162.1"	"AE004091.2"	"pmr phosphoethanolamine transferase"	"peptide antibiotic"	"antibiotic efflux;antibiotic target alteration"
"AEX49906.1"	"JQ340365"	"pmr phosphoethanolamine transferase"	"peptide antibiotic"	"antibiotic efflux;antibiotic target alteration"
"EIM09515.1"	"AJRJ01000061.1"	"BAT Beta-lactamase"	"cephalosporin"	"antibiotic inactivation"
"CAA29819.1"	"X06599"	"Bc beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"AAA22562.1"	"M19530"	"Bc beta-lactamase"	"cephalosporin;penam"	"antibiotic inactivation"
"ABU39980.1"	"EF540343.1"	"BCL Beta-lactamase"	"penam"	"antibiotic inactivation"
"ALV80601.1"	"CP012901.1"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"bicyclomycin"	"antibiotic efflux"
"AAA99504.1"	"L20573"	"ATP-binding cassette (ABC) antibiotic efflux pump"	"peptide antibiotic"	"antibiotic efflux"
"AAA99505.1"	"L20573"	"ATP-binding cassette (ABC) antibiotic efflux pump"	"peptide antibiotic"	"antibiotic efflux"
"AAA99503.1"	"L20573"	"undecaprenyl pyrophosphate related proteins"	"peptide antibiotic"	"antibiotic target alteration"
"AAZ04368.1"	"DQ089809"	"BEL beta-lactamase"	"cephalosporin;monobactam;penam"	"antibiotic inactivation"
"ACV69996.1"	"FJ666063"	"BEL beta-lactamase"	"cephalosporin;monobactam;penam"	"antibiotic inactivation"
"ACT09140.1"	"GQ202694"	"BEL beta-lactamase"	"cephalosporin;monobactam;penam"	"antibiotic inactivation"
"AAF61147.1"	"AF234999.1"	"BES Beta-lactamase"	"penam"	"antibiotic inactivation"
"ADB56658.1"	"GQ260093.1"	"BIC Beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"WP_041777404.1"	"NC_008618.1"	"rifamycin-resistant beta-subunit of RNA polymerase (rpoB)"	"rifamycin antibiotic"	"antibiotic target alteration;antibiotic target replacement"
"ADP36409.1"	"CP001840.1"	"antibiotic-resistant isoleucyl-tRNA synthetase (ileS)"	"N/A"	"antibiotic target alteration"
"CAA52618.1"	"X74512.1"	"BIL Beta-lactamase"	"cephalosporin"	"antibiotic inactivation"
"AND91341.1"	"CP011360.1"	"BJP beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"AKD43328.1"	"KP689347.1"	"BKC Beta-lactamase"	"carbapenem"	"antibiotic inactivation"
"AAR20595.1"	"AY453161"	"class A Bacillus anthracis Bla beta-lactamase"	"penam"	"antibiotic inactivation"
"AAR20596.1"	"AY453162"	"subclass B1 Bacillus anthracis Bla beta-lactamase"	"carbapenem;cephalosporin;penam"	"antibiotic inactivation"
"AAA19882.1"	"L25634"	"blaF family beta-lactamase"	"penam"	"antibiotic inactivation"
"ABU39978.1"	"EF540343.1"	"blaZ beta-lactamase"	"penam"	"antibiotic inactivation"
"ABU39979.1"	"EF540343.1"	"blaZ beta-lactamase"	"penam"	"antibiotic inactivation"
"AAP97895.1"	"AY332268.1"	"blaS"	"cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"BAF34030.1"	"AB255435.1"	"Bleomycin resistant protein"	"glycopeptide antibiotic"	"antibiotic inactivation"
"AAC36944.1"	"L32599"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"acridine dye;fluoroquinolone antibiotic"	"antibiotic efflux"
"AAA22277.1"	"M33768"	"major facilitator superfamily (MFS) antibiotic efflux pump"	"acridine dye;fluoroquinolone antibiotic;nucleoside antibiotic;phenicol antibiotic"	"antibiotic efflux"
"N/A"	"NR_044732.2"	"16s rRNA with mutation conferring resistance to aminoglycoside antibiotics"	"N/A"	"antibiotic target alteration"
"AAC66824.2"	"AE000783.1"	"antibiotic-resistant murA transferase"	"N/A"	"antibiotic target alteration"
"ABV63006.2"	"CP000813.4"	"BPU Beta-lactamase"	"penam"	"antibiotic inactivation"
"N/A"	"NZ_CP015910.2"	"23S rRNA with mutation conferring resistance to macrolide antibiotics"	"macrolide antibiotic"	"antibiotic target alteration"
"AAA92126.1"	"U49269.2"	"BRO Beta-lactamase"	"penam"	"antibiotic inactivation"
"CAA90891.1"	"Z54181.1"	"BRO Beta-lactamase"	"penam"	"antibiotic inactivation"
"AGH88989.1"	"KC503911.1"	"Bleomycin resistant protein"	"glycopeptide antibiotic"	"antibiotic inactivation"
"Q8FW76"	"AE014292"	"defensin resistant mprF"	"peptide antibiotic"	"antibiotic target alteration"
"AJY14066.1"	"CP009795.1"	"fluoroquinolone resistant gyrA"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"AAP82271"	"AY312416"	"General Bacterial Porin with reduced permeability to beta-lactams"	"carbapenem;cephalosporin;cephamycin;monobactam;penam;penem"	"reduced permeability to antibiotic"
"AAN17791.1"	"AF440406.1"	"BUT beta-lactamase"	"cephalosporin"	"antibiotic inactivation"
"AVX51087.1"	"MG430339.1"	"CAM beta-lactamase"	"carbapenem;cephalosporin;cephamycin;penam"	"antibiotic inactivation"
"AAA23018.1"	"M35190.1"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"N/A"	"NR_076226.1"	"23S rRNA with mutation conferring resistance to macrolide antibiotics"	"macrolide antibiotic"	"antibiotic target alteration"
"CAL35145.1"	"AL111168.1"	"fluoroquinolone resistant gyrA"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"EEK14408.1"	"ACLQ01000019.1"	"fluoroquinolone resistant gyrA"	"fluoroquinolone antibiotic"	"antibiotic target alteration"
"AAC32027.1"	"M80346"	"ABC-F ATP-binding cassette ribosomal protection protein"	"lincosamide antibiotic;macrolide antibiotic;oxazolidinone antibiotic;phenicol antibiotic;pleuromutilin antibiotic;streptogramin antibiotic;tetracycline antibiotic"	"antibiotic target protection"
"AAK96394.1"	"AF313471"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"ACJ61335.1"	"EU850412"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"BAA02497.1"	"D13210"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"AFI72872.1"	"JQ364968"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"CCW43444.1"	"HF953351"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"AIL92326.1"	"KJ934265"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"AIL92327.1"	"KJ934266"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"AIL92328.1"	"KJ934267"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"AAZ91704.1"	"DQ157752"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"ATI44679.1"	"CP023709.1"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"AGQ93789.1"	"CP006005"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"BAC61820.1"	"BA000032.2"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"AHJ02283.1"	"CP007005"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"AAB19430.2"	"S46063"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"AAC09012.1"	"U14749"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"AAF61417.1"	"AF135373"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"AAD19217.1"	"AF030945"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"AAM74565.1"	"AF409092"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"AAO59455.1"	"AY178993"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"AAP22374.1"	"AY248038"	"CARB beta-lactamase"	"penam"	"antibiotic inactivation"
"AKL79742.1"	"KP658477.1"	"CarO porin"	"carbapenem"	"reduced permeability to antibiotic;resistance by absence"
"AAA25655.1"	"M11587.1"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"AFN69318.1"	"JQ922409.1"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"ACL13298.1"	"FJ495083.1"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"AID93387.1"	"CP008790.1"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"AAP15294.1"	"AY232670.1"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"AFQ93498.1"	"JX101693.1"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"AAM92461.1"	"AY123251.1"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"AAL68645.1"	"AF462019"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"CAA23899.1"	"V00622"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"CAA37806.1"	"X53797"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
"CAA37805.1"	"X53796.1"	"chloramphenicol acetyltransferase (CAT)"	"phenicol antibiotic"	"antibiotic inactivation"
